farmer_id,37203063,phone_number,region,age,education_level,gender,marital_status,dependents_count,household_income_sources,employment_type,mpesa_monthly_transactions,utility_payment_timeliness,farm_size_acres,soil_quality_index,farming_years,crop_type_current,past_crop_performance_index,agroclimatic_zone,rainfall_forecast_next_90d,historical_drought_risk,cooperative_member,mobile_advisory_usage,loan_default_past,input_use_history,has_insurance_before,willing_to_subscribe_insurance
F0001,85227106,+1-437-579-8111x468,Kiambu,19,Secondary,Male,Single,1,"['Livestock', 'Small Business']",Self-employed,12014.6,0.42,0.92,0.5,17,Kale,0.32,Kiambu_Z1,300.6,0.7,False,True,False,None,False,True
F0002,4326060,+1-691-272-7095,Embu,62,Primary,Female,Single,1,"['Small Business', 'Livestock']",Self-employed,7908.58,0.62,2.05,0.6,2,Tomatoes,0.68,Embu_Z2,77.6,0.29,False,True,True,Regular,True,False
F0003,12555605,+1-590-768-2353x7614,Kiambu,32,Secondary,Female,Married,3,"['Small Business', 'Livestock']",Full-time,7427.78,0.8,3.66,0.3,20,Beans,0.67,Kiambu_Z1,107.2,0.38,True,False,True,Regular,True,False
F0004,91497770,(170)850-1178x888,Kitale,35,None,Female,Single,5,"['None', 'Remittance']",Unemployed,3286,0.48,3.85,0.6,24,Kale,0.6,Kitale_Z3,189.8,0.22,True,False,True,Regular,True,True
F0005,37269296,534-187-4647,Embu,61,Primary,Male,Married,3,"['None', 'Small Business']",Full-time,19436.03,0.92,0.55,0.3,22,Kale,0.83,Embu_Z3,169.1,0.29,True,False,True,None,False,True
F0006,35593260,422-357-3663x2683,Narok,24,Secondary,Female,Widowed,4,"['Remittance', 'Livestock']",Full-time,15368.96,0.72,4,0.2,20,Sorghum,0.64,Narok_Z1,375.2,0.88,False,True,True,Regular,True,True
F0007,34016873,378-905-0779,Kitale,22,Tertiary,Male,Single,5,"['None', 'Small Business']",Casual,5668.6,0.92,2.4,0.5,18,Beans,0.8,Kitale_Z2,398.3,0.65,False,False,True,Regular,True,True
F0008,76558163,(039)931-6132x84843,Kisumu,19,Secondary,Male,Widowed,1,"['Livestock', 'None']",Self-employed,4964.36,0.94,4.37,0.3,17,Beans,0.49,Kisumu_Z2,125,0.13,False,True,False,Irregular,True,True
F0009,10326201,381.199.0821,Kiambu,60,Primary,Female,Married,3,"['Livestock', 'Small Business']",Self-employed,1681.95,0.84,4.1,0.3,8,Beans,0.43,Kiambu_Z2,99.1,0.18,False,True,True,Irregular,True,True
F0010,55109828,+1-794-771-4863x22423,Narok,18,Tertiary,Male,Single,3,"['None', 'Remittance']",Casual,17360.68,0.94,1.24,0.2,13,Sorghum,0.95,Narok_Z2,149.8,0.7,False,True,True,Irregular,True,True
F0011,99897100,511-177-9965,Narok,65,Secondary,Female,Single,0,"['None', 'Small Business']",Casual,1609.15,0.7,4.33,0.3,20,Maize,0.77,Narok_Z1,191.3,0.94,True,True,True,Irregular,False,False
F0012,10432868,001-264-721-2886x1002,Embu,60,Secondary,Male,Married,3,"['Remittance', 'Small Business']",Full-time,9415.88,0.96,4.71,0.2,15,Kale,1,Embu_Z1,75.6,0.21,False,True,False,Regular,True,False
F0013,88772416,1828227043,Kisumu,28,Primary,Female,Widowed,6,"['Livestock', 'Small Business']",Full-time,18669.24,0.46,4.45,0.6,4,Maize,0.82,Kisumu_Z1,145.3,0.6,False,True,False,None,False,False
F0014,1574184,(313)335-3121x82034,Kiambu,23,Secondary,Female,Single,0,"['Small Business', 'Livestock']",Full-time,3650.85,0.67,3.68,0.2,4,Maize,0.96,Kiambu_Z3,366.4,0.55,False,True,False,Regular,True,False
F0015,67044226,001-452-205-0829x08773,Kisumu,20,Secondary,Male,Widowed,1,"['Livestock', 'Remittance']",Unemployed,19489.82,0.85,4.67,0.5,6,Beans,0.92,Kisumu_Z1,112.8,0.92,False,True,False,Regular,True,False
F0016,51199164,(308)138-1827,Kiambu,48,Primary,Female,Married,2,"['Remittance', 'Livestock']",Self-employed,13370.65,0.64,1.75,0.3,25,Sorghum,0.55,Kiambu_Z3,189.9,0.98,False,True,True,Irregular,True,False
F0017,54307651,7518050030,Kiambu,24,Secondary,Female,Widowed,6,"['Small Business', 'Remittance']",Self-employed,8011.31,0.75,1.65,0.8,1,Kale,0.95,Kiambu_Z3,290.4,0.94,True,False,False,Regular,False,False
F0018,62048941,849.691.8499,Kiambu,64,Tertiary,Female,Widowed,3,"['Small Business', 'Remittance']",Full-time,11311.04,0.52,3.49,0.8,22,Beans,0.73,Kiambu_Z2,192.1,0.83,False,False,True,Irregular,False,False
F0019,92985192,+1-793-212-3923x7660,Kitale,46,Secondary,Female,Widowed,1,"['Livestock', 'Remittance']",Full-time,2321.05,0.97,1.56,0.6,8,Beans,0.4,Kitale_Z1,135.7,0.48,True,False,False,None,True,False
