farmer_id,37203063,phone_number,region,age,education_level,gender,marital_status,dependents_count,household_income_sources,employment_type,mpesa_monthly_transactions,utility_payment_timeliness,farm_size_acres,soil_quality_index,farming_years,crop_type_current,past_crop_performance_index,agroclimatic_zone,rainfall_forecast_next_90d,historical_drought_risk,cooperative_member,mobile_advisory_usage,loan_default_past,input_use_history,has_insurance_before,willing_to_subscribe_insurance,loan_class
F0001,85227106.0,+1-437-579-8111x468,Kiambu,19.0,Secondary,Male,Single,1.0,"['Livestock', 'Small Business']",Self-employed,12014.6,0.42,0.92,0.5,17.0,Kale,0.32,Kiambu_Z1,300.6,0.7,False,True,False,Regular,False,True,1
F0002,4326060.0,+1-691-272-7095,Embu,62.0,Primary,Female,Single,1.0,"['Small Business', 'Livestock']",Self-employed,7908.58,0.62,2.05,0.6,2.0,Tomatoes,0.68,Embu_Z2,77.6,0.29,False,True,True,Regular,True,False,0
F0003,12555605.0,+1-590-768-2353x7614,Kiambu,32.0,Secondary,Female,Married,3.0,"['Small Business', 'Livestock']",Full-time,7427.78,0.8,3.66,0.3,20.0,Beans,0.67,Kiambu_Z1,107.2,0.38,True,False,True,Regular,True,False,1
F0004,91497770.0,(170)850-1178x888,Kitale,35.0,Secondary,Female,Single,5.0,"['None', 'Remittance']",Unemployed,3286.0,0.48,3.85,0.6,24.0,Kale,0.6,Kitale_Z3,189.8,0.22,True,False,True,Regular,True,True,0
F0005,37269296.0,534-187-4647,Embu,61.0,Primary,Male,Married,3.0,"['None', 'Small Business']",Full-time,19436.03,0.92,0.55,0.3,22.0,Kale,0.83,Embu_Z3,169.1,0.29,True,False,True,Regular,False,True,1
F0006,35593260.0,422-357-3663x2683,Narok,24.0,Secondary,Female,Widowed,4.0,"['Remittance', 'Livestock']",Full-time,15368.96,0.72,4.0,0.2,20.0,Sorghum,0.64,Narok_Z1,375.2,0.88,False,True,True,Regular,True,True,0
F0007,34016873.0,378-905-0779,Kitale,22.0,Tertiary,Male,Single,5.0,"['None', 'Small Business']",Casual,5668.6,0.92,2.4,0.5,18.0,Beans,0.8,Kitale_Z2,398.3,0.65,False,False,True,Regular,True,True,1
F0008,76558163.0,(039)931-6132x84843,Kisumu,19.0,Secondary,Male,Widowed,1.0,"['Livestock', 'None']",Self-employed,4964.36,0.94,4.37,0.3,17.0,Beans,0.49,Kisumu_Z2,125.0,0.13,False,True,False,Irregular,True,True,0
F0009,10326201.0,381.199.0821,Kiambu,60.0,Primary,Female,Married,3.0,"['Livestock', 'Small Business']",Self-employed,1681.95,0.84,4.1,0.3,8.0,Beans,0.43,Kiambu_Z2,99.1,0.18,False,True,True,Irregular,True,True,1
F0010,55109828.0,+1-794-771-4863x22423,Narok,18.0,Tertiary,Male,Single,3.0,"['None', 'Remittance']",Casual,17360.68,0.94,1.24,0.2,13.0,Sorghum,0.95,Narok_Z2,149.8,0.7,False,True,True,Irregular,True,True,0
F0011,99897100.0,511-177-9965,Narok,65.0,Secondary,Female,Single,0.0,"['None', 'Small Business']",Casual,1609.15,0.7,4.33,0.3,20.0,Maize,0.77,Narok_Z1,191.3,0.94,True,True,True,Irregular,False,False,1
F0012,10432868.0,001-264-721-2886x1002,Embu,60.0,Secondary,Male,Married,3.0,"['Remittance', 'Small Business']",Full-time,9415.88,0.96,4.71,0.2,15.0,Kale,1.0,Embu_Z1,75.6,0.21,False,True,False,Regular,True,False,0
F0013,88772416.0,1828227043,Kisumu,28.0,Primary,Female,Widowed,6.0,"['Livestock', 'Small Business']",Full-time,18669.24,0.46,4.45,0.6,4.0,Maize,0.82,Kisumu_Z1,145.3,0.6,False,True,False,Regular,False,False,1
F0014,1574184.0,(313)335-3121x82034,Kiambu,23.0,Secondary,Female,Single,0.0,"['Small Business', 'Livestock']",Full-time,3650.85,0.67,3.68,0.2,4.0,Maize,0.96,Kiambu_Z3,366.4,0.55,False,True,False,Regular,True,False,0
F0015,67044226.0,001-452-205-0829x08773,Kisumu,20.0,Secondary,Male,Widowed,1.0,"['Livestock', 'Remittance']",Unemployed,19489.82,0.85,4.67,0.5,6.0,Beans,0.92,Kisumu_Z1,112.8,0.92,False,True,False,Regular,True,False,1
F0016,51199164.0,(308)138-1827,Kiambu,48.0,Primary,Female,Married,2.0,"['Remittance', 'Livestock']",Self-employed,13370.65,0.64,1.75,0.3,25.0,Sorghum,0.55,Kiambu_Z3,189.9,0.98,False,True,True,Irregular,True,False,0
